samplenumber,waterbodyname,beachname,beachaccessnumber,collectiondate,parameters,cellcount
M121529,Isle Lake,Gainford Beach,9602751,20-Aug-12,Spirulina (Turpin ex Gomont),2445
M121529,Isle Lake,Gainford Beach,9602751,20-Aug-12,Total cyanobacterial cell count,535167
M121535,Isle Lake,Gainford Beach,9602751,27-Aug-12,Aphanizomenon (A.Morren ex Bornet et Flahault),30914
M121535,Isle Lake,Gainford Beach,9602751,27-Aug-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),355386
M121535,Isle Lake,Gainford Beach,9602751,27-Aug-12,Total cyanobacterial cell count,386300
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Anabaena (Bory de Saint-Vincent ex Bornet et Flahault),9065
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Anabaena spiroides (Klebahn),24803
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),117851
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Aphanizomenon issatschenkoi (Usachev) Proshkina-Lavrenko,41304
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Microcystis aeruginosa (Kützing) Kützing,136185
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Pseudanabaena (Lauterborn),3972
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Pseudanabaena raphidiodes (Geitler) Anagnostidis & Komárek,8098
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Spirulina (Turpin ex Gomont),866
M121502,Isle Lake,Kokomoko Day Use Area,9602376,5-Jul-12,Total cyanobacterial cell count,342144
M121508,Isle Lake,Kokomoko Day Use Area,9602376,9-Jul-12,Anabaena (Bory de Saint-Vincent ex Bornet et Flahault),26381
M121508,Isle Lake,Kokomoko Day Use Area,9602376,9-Jul-12,Anabaena flos-aquae var. intermedia f. spiroides (Woronichin),20219
M121508,Isle Lake,Kokomoko Day Use Area,9602376,9-Jul-12,Anabaena spiroides (Klebahn),42934
M121508,Isle Lake,Kokomoko Day Use Area,9602376,9-Jul-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),1038706
